seqn,household_income,gender,age,education_level,household_size
80847,"75,000 to 99,999",Male,42,Some College or AA degree,5
80849,"20,000 to 24,999",Female,19,<9th Grade,5
80850,"45,000 to 54,999",Female,25,Some College or AA degree,2
80851,"100,000 and Over",Female,35,Some College or AA degree,7
80853,"35,000 to 44,999",Male,18,High School Grad/GED or equivalent,5
80854,"100,000 and Over",Female,27,High School Grad/GED or equivalent,7
80858,"100,000 and Over",Male,65,College Graduate or above,4
80859,"10,000 to 14,999",Female,75,9th-11th Grade,2
80862,"100,000 and Over",Male,21,College Graduate or above,4
80863,"100,000 and Over",Female,37,College Graduate or above,6
80864," 5,000 to  9,999",Male,54,9th-11th Grade,1
80865," 5,000 to  9,999",Female,25,9th-11th Grade,3
80868,"100,000 and Over",Female,61,High School Grad/GED or equivalent,5
80869,"100,000 and Over",Male,18,Some College or AA degree,4
80872,,Male,66,High School Grad/GED or equivalent,5
80873,"100,000 and Over",Female,36,College Graduate or above,3
80874,"35,000 to 44,999",Female,74,High School Grad/GED or equivalent,2
80876,"65,000 to 74,999",Female,47,High School Grad/GED or equivalent,1
80878,"45,000 to 54,999",Female,65,High School Grad/GED or equivalent,2
80879,"45,000 to 54,999",Female,48,High School Grad/GED or equivalent,3
80880,"35,000 to 44,999",Male,28,Some College or AA degree,2
80881,Refused,Female,30,High School Grad/GED or equivalent,4
80882,"45,000 to 54,999",Male,18,High School Grad/GED or equivalent,3
80883,"20,000 to 24,999",Male,18,<9th Grade,3
80884,"15,000 to 19,999",Male,60,9th-11th Grade,1
80885,"10,000 to 14,999",Male,32,College Graduate or above,1
80889,"100,000 and Over",Male,80,College Graduate or above,2
80890,"15,000 to 19,999",Female,65,Some College or AA degree,2
80892,"100,000 and Over",Female,59,College Graduate or above,2
80893,"10,000 to 14,999",Female,56,9th-11th Grade,2
80894,"55,000 to 64,999",Female,67,Some College or AA degree,3
80898," 5,000 to  9,999",Male,76,<9th Grade,1
80900,,Male,66,High School Grad/GED or equivalent,3
80903,"35,000 to 44,999",Female,30,High School Grad/GED or equivalent,2
80904,"100,000 and Over",Male,61,College Graduate or above,3
80905,"20,000 to 24,999",Female,22,High School Grad/GED or equivalent,2
80908,"45,000 to 54,999",Female,53,9th-11th Grade,7
80911,"45,000 to 54,999",Male,44,College Graduate or above,4
80912,"75,000 to 99,999",Female,28,Some College or AA degree,5
80915,"35,000 to 44,999",Female,66,High School Grad/GED or equivalent,3
80916,"100,000 and Over",Female,39,High School Grad/GED or equivalent,4
80917,"20,000 to 24,999",Male,34,High School Grad/GED or equivalent,5
80920,"25,000 to 34,999",Female,28,High School Grad/GED or equivalent,2
80921,"75,000 to 99,999",Female,25,High School Grad/GED or equivalent,7
80923,"45,000 to 54,999",Male,28,High School Grad/GED or equivalent,3
80924,"20,000 and Over",Female,39,Some College or AA degree,3
80928,"65,000 to 74,999",Female,62,Some College or AA degree,3
80929,"35,000 to 44,999",Female,65,High School Grad/GED or equivalent,1
80930,"100,000 and Over",Male,73,Some College or AA degree,2
80932,"35,000 to 44,999",Male,39,Some College or AA degree,1
80934,"20,000 to 24,999",Male,65,High School Grad/GED or equivalent,7
80936,"100,000 and Over",Male,38,High School Grad/GED or equivalent,5
80937,"10,000 to 14,999",Female,18,High School Grad/GED or equivalent,7
80938,"100,000 and Over",Female,19,Some College or AA degree,4
80939,"45,000 to 54,999",Male,47,Some College or AA degree,4
80941,"100,000 and Over",Female,51,High School Grad/GED or equivalent,2
80943,"20,000 to 24,999",Female,78,High School Grad/GED or equivalent,1
80945,"55,000 to 64,999",Male,61,9th-11th Grade,5
80946,"100,000 and Over",Male,60,Some College or AA degree,4
80948,"20,000 to 24,999",Male,18,9th-11th Grade,5
80954,"15,000 to 19,999",Female,29,Some College or AA degree,5
80955,"10,000 to 14,999",Female,72,Some College or AA degree,1
80956,,Female,18,Some College or AA degree,2
80959,"65,000 to 74,999",Female,24,,4
80960,"25,000 to 34,999",Male,71,<9th Grade,4
80961,"75,000 to 99,999",Female,41,College Graduate or above,5
80962,"20,000 to 24,999",Female,72,Some College or AA degree,2
80964,"55,000 to 64,999",Female,19,Some College or AA degree,3
80965,"45,000 to 54,999",Male,25,Some College or AA degree,2
80966,"45,000 to 54,999",Female,27,Some College or AA degree,3
80967,"20,000 to 24,999",Male,40,<9th Grade,7
80968,"100,000 and Over",Male,25,College Graduate or above,4
80973,"10,000 to 14,999",Female,47,Some College or AA degree,1
80975,"20,000 to 24,999",Female,26,High School Grad/GED or equivalent,5
80976,"100,000 and Over",Male,59,College Graduate or above,3
80979,"100,000 and Over",Male,29,College Graduate or above,2
80980,"45,000 to 54,999",Female,44,College Graduate or above,3
80981,"100,000 and Over",Female,25,College Graduate or above,3
80982,"20,000 to 24,999",Male,31,Some College or AA degree,6
80985,"75,000 to 99,999",Male,46,College Graduate or above,5
80987,"25,000 to 34,999",Female,80,High School Grad/GED or equivalent,1
80988,"25,000 to 34,999",Female,65,College Graduate or above,1
80989,"10,000 to 14,999",Male,46,Some College or AA degree,2
80990,Refused,Male,35,High School Grad/GED or equivalent,7
80997,"15,000 to 19,999",Male,26,High School Grad/GED or equivalent,5
81000,"25,000 to 34,999",Male,28,,4
81004,"100,000 and Over",Male,50,High School Grad/GED or equivalent,2
81008,"100,000 and Over",Male,48,Some College or AA degree,4
81009,"15,000 to 19,999",Female,56,Some College or AA degree,3
81010,"45,000 to 54,999",Male,51,High School Grad/GED or equivalent,3
81011,"55,000 to 64,999",Female,60,Some College or AA degree,2
81012,"10,000 to 14,999",Male,34,High School Grad/GED or equivalent,2
81013,"25,000 to 34,999",Male,43,Some College or AA degree,5
81014,"100,000 and Over",Male,27,High School Grad/GED or equivalent,2
81015,"100,000 and Over",Female,20,High School Grad/GED or equivalent,4
81020,"25,000 to 34,999",Male,40,<9th Grade,4
81022,"25,000 to 34,999",Male,45,9th-11th Grade,3
81023,"15,000 to 19,999",Female,22,9th-11th Grade,3
81025,"20,000 and Over",Female,69,High School Grad/GED or equivalent,3
81026,"25,000 to 34,999",Female,80,College Graduate or above,1
81029,"20,000 and Over",Male,43,High School Grad/GED or equivalent,3
81030,"20,000 and Over",Male,60,High School Grad/GED or equivalent,2
81032,"10,000 to 14,999",Male,71,High School Grad/GED or equivalent,1
81034,"35,000 to 44,999",Male,34,High School Grad/GED or equivalent,5
81037,"75,000 to 99,999",Male,60,High School Grad/GED or equivalent,4
81038,"15,000 to 19,999",Male,45,Some College or AA degree,2
81039," 5,000 to  9,999",Male,64,College Graduate or above,1
81040,"55,000 to 64,999",Female,52,9th-11th Grade,5
81041," 5,000 to  9,999",Female,23,Some College or AA degree,3
81042,"100,000 and Over",Male,63,College Graduate or above,1
81043,"20,000 to 24,999",Female,18,Some College or AA degree,5
81050,"45,000 to 54,999",Female,38,High School Grad/GED or equivalent,7
81051,"75,000 to 99,999",Male,41,Some College or AA degree,7
81052,"65,000 to 74,999",Female,44,Some College or AA degree,3
81054,"20,000 to 24,999",Female,66,High School Grad/GED or equivalent,2
81055,"35,000 to 44,999",Female,48,<9th Grade,4
81056,"45,000 to 54,999",Female,49,9th-11th Grade,5
81057,"10,000 to 14,999",Female,52,9th-11th Grade,1
81061,"55,000 to 64,999",Male,44,High School Grad/GED or equivalent,3
81062,"100,000 and Over",Female,48,College Graduate or above,3
81063,"20,000 to 24,999",Female,80,High School Grad/GED or equivalent,1
81065,"10,000 to 14,999",Female,19,Some College or AA degree,6
81068,"100,000 and Over",Male,59,Some College or AA degree,1
81069," 5,000 to  9,999",Female,26,High School Grad/GED or equivalent,3
81070,"35,000 to 44,999",Male,31,9th-11th Grade,6
81074,"20,000 to 24,999",Female,19,9th-11th Grade,6
81075,"35,000 to 44,999",Male,30,College Graduate or above,4
81076,"25,000 to 34,999",Female,18,College Graduate or above,7
81078,"20,000 and Over",Female,53,High School Grad/GED or equivalent,7
81079,"15,000 to 19,999",Male,76,College Graduate or above,2
81082,Refused,Female,60,<9th Grade,4
81083,"25,000 to 34,999",Male,36,Some College or AA degree,4
81084,"100,000 and Over",Female,26,<9th Grade,7
81087,"100,000 and Over",Female,36,College Graduate or above,3
81088,"25,000 to 34,999",Female,54,Some College or AA degree,3
81090,"20,000 to 24,999",Male,32,<9th Grade,7
81092,"10,000 to 14,999",Male,29,Some College or AA degree,3
81093,"15,000 to 19,999",Female,36,Some College or AA degree,2
81095,"35,000 to 44,999",Male,51,College Graduate or above,2
81096," 5,000 to  9,999",Female,24,Some College or AA degree,2
81097,"25,000 to 34,999",Female,21,High School Grad/GED or equivalent,3
81099,"25,000 to 34,999",Female,36,High School Grad/GED or equivalent,5
81100,"20,000 to 24,999",Female,80,High School Grad/GED or equivalent,2
81101,"65,000 to 74,999",Female,38,College Graduate or above,4
81103,"35,000 to 44,999",Male,80,College Graduate or above,2
81104," 5,000 to  9,999",Female,67,Some College or AA degree,1
81105,"15,000 to 19,999",Male,63,Some College or AA degree,2
81107,"25,000 to 34,999",Female,54,High School Grad/GED or equivalent,2
81109,"20,000 to 24,999",Female,77,High School Grad/GED or equivalent,6
81110,"100,000 and Over",Female,56,College Graduate or above,2
81111,"35,000 to 44,999",Female,77,Some College or AA degree,1
81113,"35,000 to 44,999",Female,80,9th-11th Grade,3
81115,"100,000 and Over",Male,60,,2
81117,"35,000 to 44,999",Male,19,<9th Grade,5
81118,"55,000 to 64,999",Female,40,Some College or AA degree,4
81119,"75,000 to 99,999",Female,37,<9th Grade,6
81121,"10,000 to 14,999",Male,61,9th-11th Grade,1
81122,"20,000 to 24,999",Female,37,Some College or AA degree,4
81130,"100,000 and Over",Male,18,College Graduate or above,3
81131,"100,000 and Over",Male,49,College Graduate or above,5
81134,"20,000 to 24,999",Female,75,Some College or AA degree,2
81135,"55,000 to 64,999",Male,20,Some College or AA degree,6
81136,"20,000 to 24,999",Female,78,High School Grad/GED or equivalent,1
81138,"100,000 and Over",Female,42,College Graduate or above,4
81139,"75,000 to 99,999",Male,23,,3
81141,"20,000 to 24,999",Male,70,College Graduate or above,3
81142,"100,000 and Over",Female,60,College Graduate or above,2
81143,"10,000 to 14,999",Female,80,9th-11th Grade,3
81144,"35,000 to 44,999",Male,49,High School Grad/GED or equivalent,4
81147,"100,000 and Over",Female,46,High School Grad/GED or equivalent,5
81148,"35,000 to 44,999",Female,73,College Graduate or above,2
81149,"100,000 and Over",Male,34,College Graduate or above,3
81151,"100,000 and Over",Male,56,College Graduate or above,2
81152,"35,000 to 44,999",Female,34,High School Grad/GED or equivalent,5
81153,"25,000 to 34,999",Female,30,College Graduate or above,4
81154,"65,000 to 74,999",Male,50,High School Grad/GED or equivalent,4
81155,"45,000 to 54,999",Female,56,High School Grad/GED or equivalent,4
81159,"55,000 to 64,999",Female,24,Some College or AA degree,2
81160,"20,000 to 24,999",Male,23,College Graduate or above,4
81161,"15,000 to 19,999",Male,33,9th-11th Grade,3
81162,"75,000 to 99,999",Female,80,High School Grad/GED or equivalent,6
81163,"25,000 to 34,999",Female,79,High School Grad/GED or equivalent,2
81165,"100,000 and Over",Male,51,9th-11th Grade,7
81166," 5,000 to  9,999",Female,73,Some College or AA degree,2
81168,"55,000 to 64,999",Female,28,High School Grad/GED or equivalent,2
81169,"35,000 to 44,999",Male,34,High School Grad/GED or equivalent,6
81170,"35,000 to 44,999",Female,24,Some College or AA degree,3
81171,"55,000 to 64,999",Female,49,<9th Grade,3
81173,"75,000 to 99,999",Female,50,Some College or AA degree,4
81174,"25,000 to 34,999",Female,31,College Graduate or above,3
81175,"65,000 to 74,999",Male,80,Some College or AA degree,2
81176,"35,000 to 44,999",Female,38,9th-11th Grade,6
81177,"75,000 to 99,999",Female,48,,4
81178,"100,000 and Over",Male,24,College Graduate or above,7
81179,"20,000 and Over",Male,80,,2
81185,"100,000 and Over",Female,25,High School Grad/GED or equivalent,3
81186,"25,000 to 34,999",Female,42,Some College or AA degree,2
81187,"20,000 to 24,999",Male,43,College Graduate or above,3
81190,"100,000 and Over",Female,23,High School Grad/GED or equivalent,4
81192,"65,000 to 74,999",Female,41,Some College or AA degree,3
81193,"25,000 to 34,999",Male,20,9th-11th Grade,5
81196,"35,000 to 44,999",Female,41,<9th Grade,6
81197,Refused,Female,47,High School Grad/GED or equivalent,2
81201,"35,000 to 44,999",Male,56,<9th Grade,5
81202,"20,000 to 24,999",Female,38,High School Grad/GED or equivalent,3
81203,"100,000 and Over",Male,62,College Graduate or above,2
81204,Refused,Female,65,High School Grad/GED or equivalent,5
81206,Don't know,Male,47,Some College or AA degree,2
81207,"100,000 and Over",Male,39,College Graduate or above,4
81209,"100,000 and Over",Male,58,High School Grad/GED or equivalent,7
81210,"100,000 and Over",Female,69,Some College or AA degree,2
81212,"25,000 to 34,999",Female,37,High School Grad/GED or equivalent,4
81213,"35,000 to 44,999",Male,50,High School Grad/GED or equivalent,2
81214,"25,000 to 34,999",Male,50,College Graduate or above,3
81216,"100,000 and Over",Female,30,College Graduate or above,2
81217,"45,000 to 54,999",Male,45,High School Grad/GED or equivalent,4
81218,"100,000 and Over",Male,34,College Graduate or above,2
81219,"35,000 to 44,999",Male,37,High School Grad/GED or equivalent,1
81221,"100,000 and Over",Female,68,College Graduate or above,5
81223,"15,000 to 19,999",Female,21,9th-11th Grade,3
81224,"100,000 and Over",Female,18,Some College or AA degree,6
81225,"100,000 and Over",Male,37,College Graduate or above,5
81226,"10,000 to 14,999",Male,65,Some College or AA degree,3
81228,"100,000 and Over",Female,65,College Graduate or above,2
81229,,Male,74,<9th Grade,1
81230,"45,000 to 54,999",Female,52,High School Grad/GED or equivalent,1
81231,"10,000 to 14,999",Female,44,9th-11th Grade,3
81232,"15,000 to 19,999",Female,59,Some College or AA degree,2
81234,"20,000 and Over",Male,67,College Graduate or above,1
81235,"100,000 and Over",Male,37,High School Grad/GED or equivalent,6
81237,"35,000 to 44,999",Male,39,Some College or AA degree,7
81238,"35,000 to 44,999",Female,21,9th-11th Grade,5
81241,"45,000 to 54,999",Male,51,High School Grad/GED or equivalent,3
81244,"100,000 and Over",Female,47,College Graduate or above,5
81248,"10,000 to 14,999",Female,68,High School Grad/GED or equivalent,1
81250," 5,000 to  9,999",Male,50,9th-11th Grade,5
81251,"20,000 to 24,999",Female,80,High School Grad/GED or equivalent,1
81256,"10,000 to 14,999",Male,69,<9th Grade,2
81259,"45,000 to 54,999",Male,75,Some College or AA degree,1
81260,"100,000 and Over",Male,44,Some College or AA degree,4
81262,"75,000 to 99,999",Female,71,9th-11th Grade,2
81264,"75,000 to 99,999",Female,21,Some College or AA degree,3
81266,"55,000 to 64,999",Male,39,High School Grad/GED or equivalent,5
81267,"45,000 to 54,999",Female,75,Some College or AA degree,1
81268,"10,000 to 14,999",Female,22,High School Grad/GED or equivalent,2
81269,"20,000 to 24,999",Female,80,9th-11th Grade,2
81270,"100,000 and Over",Male,43,College Graduate or above,4
81272,Don't know,Female,46,<9th Grade,3
81273,"45,000 to 54,999",Male,32,High School Grad/GED or equivalent,3
81275,"25,000 to 34,999",Female,50,<9th Grade,5
81276,"100,000 and Over",Female,48,College Graduate or above,2
81278,"100,000 and Over",Male,18,College Graduate or above,3
81282,"65,000 to 74,999",Female,61,Some College or AA degree,3
81283,"35,000 to 44,999",Female,67,Some College or AA degree,2
81284,"25,000 to 34,999",Female,64,Some College or AA degree,2
81285,Refused,Female,74,9th-11th Grade,2
81287,"55,000 to 64,999",Female,21,College Graduate or above,2
81288,"15,000 to 19,999",Female,71,College Graduate or above,1
81290,,Male,30,<9th Grade,3
81291,"45,000 to 54,999",Male,21,Some College or AA degree,6
81292,"75,000 to 99,999",Male,47,College Graduate or above,3
81294,"100,000 and Over",Male,18,9th-11th Grade,5
81295,"100,000 and Over",Male,59,Some College or AA degree,2
81296,"15,000 to 19,999",Female,63,High School Grad/GED or equivalent,2
81297,"45,000 to 54,999",Male,80,College Graduate or above,2
81298,"20,000 and Over",Male,72,College Graduate or above,7
81302,"15,000 to 19,999",Female,69,High School Grad/GED or equivalent,1
81303,"35,000 to 44,999",Male,20,College Graduate or above,3
81304,"75,000 to 99,999",Female,20,High School Grad/GED or equivalent,7
81306,"35,000 to 44,999",Male,57,9th-11th Grade,2
81309,"35,000 to 44,999",Female,55,<9th Grade,4
81310,"25,000 to 34,999",Male,19,High School Grad/GED or equivalent,4
81311,Refused,Male,68,<9th Grade,3
81312,"20,000 to 24,999",Female,19,<9th Grade,5
81313,"75,000 to 99,999",Male,20,High School Grad/GED or equivalent,4
81316,"35,000 to 44,999",Female,43,High School Grad/GED or equivalent,5
81317,"100,000 and Over",Female,45,College Graduate or above,4
81319,"35,000 to 44,999",Female,38,Some College or AA degree,6
81320,"25,000 to 34,999",Male,28,High School Grad/GED or equivalent,5
81321,"65,000 to 74,999",Female,80,9th-11th Grade,4
81322,"35,000 to 44,999",Female,55,High School Grad/GED or equivalent,2
81323,"100,000 and Over",Male,50,College Graduate or above,4
81328,"100,000 and Over",Male,18,College Graduate or above,4
81329,"45,000 to 54,999",Female,63,High School Grad/GED or equivalent,3
81331,"45,000 to 54,999",Female,27,College Graduate or above,2
81332,"10,000 to 14,999",Female,61,High School Grad/GED or equivalent,1
81334,"Under 20,000",Female,18,,3
81337,"100,000 and Over",Male,36,9th-11th Grade,2
81339," 5,000 to  9,999",Male,55,<9th Grade,1
81342,"100,000 and Over",Male,46,College Graduate or above,4
81343,Refused,Female,65,College Graduate or above,2
81344,"65,000 to 74,999",Male,59,High School Grad/GED or equivalent,5
81345,"35,000 to 44,999",Female,63,High School Grad/GED or equivalent,2
81347,"100,000 and Over",Male,42,Some College or AA degree,6
81348,"45,000 to 54,999",Male,21,9th-11th Grade,7
81349,"15,000 to 19,999",Male,36,High School Grad/GED or equivalent,3
81350,"25,000 to 34,999",Female,58,<9th Grade,3
81352,"20,000 to 24,999",Male,58,9th-11th Grade,1
81353,"100,000 and Over",Male,76,College Graduate or above,2
81357,"10,000 to 14,999",Female,66,Some College or AA degree,1
81358," 5,000 to  9,999",Female,77,<9th Grade,1
81359,"10,000 to 14,999",Female,57,Some College or AA degree,1
81362,,Male,21,High School Grad/GED or equivalent,4
81366,"20,000 to 24,999",Male,38,9th-11th Grade,6
81367,Refused,Male,48,9th-11th Grade,6
81368,"35,000 to 44,999",Female,65,High School Grad/GED or equivalent,2
81370," 5,000 to  9,999",Female,43,9th-11th Grade,4
81372,"65,000 to 74,999",Female,31,Some College or AA degree,4
81373,"15,000 to 19,999",Male,49,Some College or AA degree,3
81374,"55,000 to 64,999",Female,43,Some College or AA degree,2
81375,"75,000 to 99,999",Female,41,High School Grad/GED or equivalent,4
81377,"55,000 to 64,999",Male,80,Some College or AA degree,2
81378,"20,000 to 24,999",Female,49,9th-11th Grade,4
81379,"100,000 and Over",Male,48,College Graduate or above,5
81380,"10,000 to 14,999",Male,80,<9th Grade,1
81381,"10,000 to 14,999",Female,73,<9th Grade,1
81382,"75,000 to 99,999",Male,71,Some College or AA degree,2
81384,"100,000 and Over",Male,40,College Graduate or above,4
81385,"100,000 and Over",Male,69,College Graduate or above,4
81386,,Female,18,,2
81387,"10,000 to 14,999",Female,52,High School Grad/GED or equivalent,1
81388,"20,000 to 24,999",Male,26,High School Grad/GED or equivalent,4
81391,"10,000 to 14,999",Male,64,9th-11th Grade,1
81395,"20,000 and Over",Male,23,<9th Grade,6
81396,"45,000 to 54,999",Male,21,High School Grad/GED or equivalent,6
81399,"100,000 and Over",Female,80,High School Grad/GED or equivalent,6
81406,"10,000 to 14,999",Female,26,High School Grad/GED or equivalent,6
81408,"35,000 to 44,999",Female,30,9th-11th Grade,7
81409,"65,000 to 74,999",Female,65,High School Grad/GED or equivalent,5
81412,"20,000 to 24,999",Male,67,College Graduate or above,1
81413,"65,000 to 74,999",Female,50,College Graduate or above,1
81415,"75,000 to 99,999",Male,80,9th-11th Grade,2
81416,"10,000 to 14,999",Male,80,High School Grad/GED or equivalent,2
81418,"20,000 to 24,999",Female,61,9th-11th Grade,3
81424,"65,000 to 74,999",Female,27,High School Grad/GED or equivalent,3
81427,"15,000 to 19,999",Male,52,<9th Grade,7
81428,"25,000 to 34,999",Female,26,Some College or AA degree,3
81429,"100,000 and Over",Female,65,College Graduate or above,2
81430,"55,000 to 64,999",Male,62,Some College or AA degree,2
81434,"65,000 to 74,999",Male,80,College Graduate or above,2
81435,"15,000 to 19,999",Male,18,9th-11th Grade,3
81436," 5,000 to  9,999",Female,80,9th-11th Grade,1
81438,"55,000 to 64,999",Female,56,Some College or AA degree,4
81441,"20,000 to 24,999",Male,34,Some College or AA degree,1
81442,Refused,Female,32,<9th Grade,4
81444,"65,000 to 74,999",Female,51,Some College or AA degree,4
81447," 5,000 to  9,999",Female,69,College Graduate or above,1
81448," 5,000 to  9,999",Male,18,9th-11th Grade,4
81450,"45,000 to 54,999",Female,56,9th-11th Grade,1
81451,"35,000 to 44,999",Male,19,Some College or AA degree,3
81452,"100,000 and Over",Male,60,College Graduate or above,1
81453,"100,000 and Over",Female,22,Some College or AA degree,3
81456,"45,000 to 54,999",Male,80,Some College or AA degree,2
81457,"100,000 and Over",Female,45,College Graduate or above,4
81460,"75,000 to 99,999",Female,46,Some College or AA degree,4
81461,"20,000 to 24,999",Male,24,<9th Grade,5
81462,Refused,Female,53,High School Grad/GED or equivalent,5
81463,"20,000 to 24,999",Female,53,9th-11th Grade,6
81464,"75,000 to 99,999",Female,68,College Graduate or above,2
81465,"10,000 to 14,999",Female,68,Some College or AA degree,2
81468,"75,000 to 99,999",Male,74,9th-11th Grade,2
81470,"75,000 to 99,999",Female,43,College Graduate or above,4
81472,"20,000 and Over",Male,29,College Graduate or above,3
81473,"15,000 to 19,999",Female,20,Some College or AA degree,3
81474,"35,000 to 44,999",Female,78,9th-11th Grade,1
81475,"20,000 to 24,999",Female,42,Some College or AA degree,3
81477,"35,000 to 44,999",Female,70,Some College or AA degree,2
81481,"55,000 to 64,999",Female,28,Some College or AA degree,2
81482,"100,000 and Over",Male,49,College Graduate or above,6
81484,"35,000 to 44,999",Male,32,Some College or AA degree,5
81485,"75,000 to 99,999",Male,51,,3
81486,"100,000 and Over",Male,74,College Graduate or above,2
81487,"100,000 and Over",Female,50,Some College or AA degree,3
81489,"100,000 and Over",Male,38,College Graduate or above,7
81490,"25,000 to 34,999",Female,26,Some College or AA degree,5
81491,"75,000 to 99,999",Male,32,College Graduate or above,4
81492,"75,000 to 99,999",Female,51,High School Grad/GED or equivalent,6
81494,"100,000 and Over",Male,38,College Graduate or above,1
81495,Refused,Female,74,Some College or AA degree,2
81497,"45,000 to 54,999",Female,72,Some College or AA degree,2
81499,Don't know,Female,18,High School Grad/GED or equivalent,4
81503,"75,000 to 99,999",Female,43,High School Grad/GED or equivalent,2
81504,"25,000 to 34,999",Male,80,9th-11th Grade,3
81506," 5,000 to  9,999",Female,22,Some College or AA degree,5
81508,"55,000 to 64,999",Female,52,College Graduate or above,2
81509," 5,000 to  9,999",Male,42,Some College or AA degree,1
81512,"45,000 to 54,999",Male,69,Some College or AA degree,2
81514,"25,000 to 34,999",Male,23,9th-11th Grade,6
81516,"75,000 to 99,999",Female,60,College Graduate or above,2
81519,"100,000 and Over",Male,58,College Graduate or above,5
81521,"100,000 and Over",Female,55,College Graduate or above,4
81522,Refused,Female,63,High School Grad/GED or equivalent,7
81523,"10,000 to 14,999",Female,57,High School Grad/GED or equivalent,3
81524,"45,000 to 54,999",Male,73,High School Grad/GED or equivalent,4
81527,"45,000 to 54,999",Male,35,Some College or AA degree,4
81528,"15,000 to 19,999",Female,41,High School Grad/GED or equivalent,2
81530,"55,000 to 64,999",Female,73,Some College or AA degree,2
81533,"25,000 to 34,999",Female,25,High School Grad/GED or equivalent,5
81534,"15,000 to 19,999",Female,49,High School Grad/GED or equivalent,5
81535,"20,000 and Over",Female,46,High School Grad/GED or equivalent,4
81537,"20,000 and Over",Female,55,Some College or AA degree,3
81544,"75,000 to 99,999",Male,37,College Graduate or above,4
81547,"10,000 to 14,999",Female,60,<9th Grade,4
81548,"35,000 to 44,999",Male,69,9th-11th Grade,2
81550,"100,000 and Over",Male,51,College Graduate or above,3
81552,Refused,Female,62,College Graduate or above,3
81553,"100,000 and Over",Female,26,High School Grad/GED or equivalent,3
81556,"75,000 to 99,999",Female,25,Some College or AA degree,6
81559,"75,000 to 99,999",Male,31,College Graduate or above,2
81563,"75,000 to 99,999",Male,25,College Graduate or above,3
81564,"15,000 to 19,999",Male,50,Some College or AA degree,6
81566,"10,000 to 14,999",Male,52,9th-11th Grade,1
81568,"45,000 to 54,999",Female,36,High School Grad/GED or equivalent,4
81570,"25,000 to 34,999",Female,58,Some College or AA degree,2
81571,"25,000 to 34,999",Female,22,Some College or AA degree,2
81573,,Female,64,<9th Grade,2
81574,"100,000 and Over",Male,34,Some College or AA degree,3
81576,"20,000 and Over",Female,40,<9th Grade,6
81578,"100,000 and Over",Male,60,Some College or AA degree,2
81579,"20,000 to 24,999",Female,73,Don't know,7
81580,"25,000 to 34,999",Female,68,Some College or AA degree,1
81581,"Under 20,000",Male,80,College Graduate or above,5
81582,"20,000 to 24,999",Male,72,High School Grad/GED or equivalent,2
81583,"35,000 to 44,999",Female,18,Some College or AA degree,7
81584,"100,000 and Over",Female,48,College Graduate or above,4
81585,"20,000 to 24,999",Male,36,9th-11th Grade,7
81587,"10,000 to 14,999",Female,66,Some College or AA degree,2
81590,"25,000 to 34,999",Male,28,<9th Grade,5
81593,"15,000 to 19,999",Male,68,High School Grad/GED or equivalent,2
81594,"55,000 to 64,999",Male,60,College Graduate or above,4
81595,"65,000 to 74,999",Male,80,College Graduate or above,2
81596,"20,000 to 24,999",Male,35,College Graduate or above,4
81597,"45,000 to 54,999",Male,63,9th-11th Grade,7
81598,"25,000 to 34,999",Male,50,,2
81599,"100,000 and Over",Male,46,Some College or AA degree,6
81600,"75,000 to 99,999",Female,70,Some College or AA degree,2
81601,"15,000 to 19,999",Male,65,College Graduate or above,1
81602,"20,000 and Over",Female,37,College Graduate or above,2
81603,"15,000 to 19,999",Female,76,Some College or AA degree,1
81604,"25,000 to 34,999",Female,29,9th-11th Grade,5
81605,"100,000 and Over",Male,43,,5
81606,"100,000 and Over",Female,42,College Graduate or above,4
81607,"75,000 to 99,999",Female,29,,4
81608,"100,000 and Over",Female,33,College Graduate or above,2
81609,"20,000 and Over",Male,54,9th-11th Grade,5
81610,Refused,Male,60,<9th Grade,2
81611,"20,000 and Over",Male,31,High School Grad/GED or equivalent,7
81613,"15,000 to 19,999",Female,41,High School Grad/GED or equivalent,4
81614,"25,000 to 34,999",Male,21,Some College or AA degree,2
81617,,Male,52,Some College or AA degree,4
81618,"25,000 to 34,999",Female,19,Some College or AA degree,4
81619,"35,000 to 44,999",Female,18,Some College or AA degree,6
81620,"20,000 and Over",Male,26,Some College or AA degree,3
81622,"45,000 to 54,999",Female,65,Some College or AA degree,2
81623,"45,000 to 54,999",Female,63,College Graduate or above,3
81624,"25,000 to 34,999",Female,62,Some College or AA degree,4
81625,"65,000 to 74,999",Female,41,High School Grad/GED or equivalent,3
81626,"25,000 to 34,999",Female,40,Some College or AA degree,2
81627,"20,000 and Over",Female,24,,5
81628,"75,000 to 99,999",Female,66,College Graduate or above,2
81629,"75,000 to 99,999",Female,57,High School Grad/GED or equivalent,2
81633,"100,000 and Over",Male,51,Some College or AA degree,4
81636,"100,000 and Over",Male,79,Some College or AA degree,2
81640,"15,000 to 19,999",Female,70,High School Grad/GED or equivalent,1
81642,"25,000 to 34,999",Male,39,College Graduate or above,2
81643,"20,000 to 24,999",Female,50,College Graduate or above,3
81645,"100,000 and Over",Female,52,College Graduate or above,2
81647,"100,000 and Over",Female,36,Some College or AA degree,5
81648,"35,000 to 44,999",Female,63,College Graduate or above,1
81649,"65,000 to 74,999",Female,19,<9th Grade,3
